Input arguments:
id               resnet50_upernet_train
arch_encoder     resnet50
arch_decoder     upernet
weights_encoder  
weights_decoder  
fc_dim           2048
list_train       /home/ky_aneur/cs230/code/cta-scripts/train_list_100x_upsampling.odgt
list_val         ./data/validation.odgt
root_dataset     /data2/yeom/ky_aneur/sah_png/train
num_gpus         2
batch_size_per_gpu 2
num_epoch        20
start_epoch      1
epoch_iters      500
optim            adam
lr_encoder       0.02
lr_decoder       0.02
lr_pow           0.9
beta1            0.9
weight_decay     0.0001
deep_sup_scale   0.4
fix_bn           0
num_class        2
workers          16
imgSize          [300, 375, 450, 525, 600]
imgMaxSize       1000
padding_constant 32
segm_downsampling_rate 4
random_flip      True
seed             304
ckpt             /data2/yeom/ky_aneur/results/ckpt/upsampling/
disp_iter        20
Model ID: resnet50_upernet_train-resnet50-upernet-ngpus2-batchSize4-imgMaxSize1000-paddingConst32-segmDownsampleRate4-LR_encoder0.02-LR_decoder0.02-epoch20
# samples: 60560
1 Epoch = 500 iters
Epoch: [4][20/500], Time: 1.08, Data: 0.04, lr_encoder: 0.017244, lr_decoder: 0.017244, Accuracy: 97.67, IOU: 0.033463 Loss: 0.050004
Epoch: [4][40/500], Time: 1.09, Data: 0.04, lr_encoder: 0.017207, lr_decoder: 0.017207, Accuracy: 97.65, IOU: 0.033531 Loss: 0.048763
Epoch: [4][60/500], Time: 1.08, Data: 0.04, lr_encoder: 0.017171, lr_decoder: 0.017171, Accuracy: 97.70, IOU: 0.032112 Loss: 0.048460
Epoch: [4][80/500], Time: 1.06, Data: 0.04, lr_encoder: 0.017134, lr_decoder: 0.017134, Accuracy: 97.69, IOU: 0.029878 Loss: 0.052731
Epoch: [4][100/500], Time: 1.06, Data: 0.04, lr_encoder: 0.017097, lr_decoder: 0.017097, Accuracy: 97.57, IOU: 0.029273 Loss: 0.058146
Epoch: [4][120/500], Time: 1.07, Data: 0.04, lr_encoder: 0.017061, lr_decoder: 0.017061, Accuracy: 96.96, IOU: 0.026304 Loss: 0.064261
Epoch: [4][140/500], Time: 1.07, Data: 0.04, lr_encoder: 0.017024, lr_decoder: 0.017024, Accuracy: 97.02, IOU: 0.025819 Loss: 0.064140
Epoch: [4][160/500], Time: 1.08, Data: 0.04, lr_encoder: 0.016987, lr_decoder: 0.016987, Accuracy: 97.05, IOU: 0.025217 Loss: 0.063115
Epoch: [4][180/500], Time: 1.08, Data: 0.04, lr_encoder: 0.016951, lr_decoder: 0.016951, Accuracy: 97.14, IOU: 0.025501 Loss: 0.063445
Epoch: [4][200/500], Time: 1.09, Data: 0.04, lr_encoder: 0.016914, lr_decoder: 0.016914, Accuracy: 97.16, IOU: 0.025235 Loss: 0.063161
Epoch: [4][220/500], Time: 1.08, Data: 0.04, lr_encoder: 0.016877, lr_decoder: 0.016877, Accuracy: 97.18, IOU: 0.024967 Loss: 0.062725
Epoch: [4][240/500], Time: 1.08, Data: 0.04, lr_encoder: 0.016841, lr_decoder: 0.016841, Accuracy: 97.27, IOU: 0.026905 Loss: 0.060816
Epoch: [4][260/500], Time: 1.08, Data: 0.04, lr_encoder: 0.016804, lr_decoder: 0.016804, Accuracy: 97.31, IOU: 0.027637 Loss: 0.059819
Epoch: [4][280/500], Time: 1.07, Data: 0.04, lr_encoder: 0.016767, lr_decoder: 0.016767, Accuracy: 97.38, IOU: 0.028451 Loss: 0.058921
Epoch: [4][300/500], Time: 1.07, Data: 0.04, lr_encoder: 0.016731, lr_decoder: 0.016731, Accuracy: 97.45, IOU: 0.030004 Loss: 0.057877
Epoch: [4][320/500], Time: 1.07, Data: 0.04, lr_encoder: 0.016694, lr_decoder: 0.016694, Accuracy: 97.47, IOU: 0.030380 Loss: 0.056692
Epoch: [4][340/500], Time: 1.07, Data: 0.04, lr_encoder: 0.016657, lr_decoder: 0.016657, Accuracy: 97.52, IOU: 0.031203 Loss: 0.056254
Epoch: [4][360/500], Time: 1.07, Data: 0.04, lr_encoder: 0.016620, lr_decoder: 0.016620, Accuracy: 97.54, IOU: 0.031630 Loss: 0.055467
Epoch: [4][380/500], Time: 1.07, Data: 0.04, lr_encoder: 0.016584, lr_decoder: 0.016584, Accuracy: 97.51, IOU: 0.031373 Loss: 0.056344
Epoch: [4][400/500], Time: 1.07, Data: 0.04, lr_encoder: 0.016547, lr_decoder: 0.016547, Accuracy: 97.51, IOU: 0.032249 Loss: 0.056005
Epoch: [4][420/500], Time: 1.08, Data: 0.04, lr_encoder: 0.016510, lr_decoder: 0.016510, Accuracy: 97.54, IOU: 0.032581 Loss: 0.055255
Epoch: [4][440/500], Time: 1.08, Data: 0.04, lr_encoder: 0.016473, lr_decoder: 0.016473, Accuracy: 97.57, IOU: 0.032996 Loss: 0.054110
Epoch: [4][460/500], Time: 1.08, Data: 0.04, lr_encoder: 0.016436, lr_decoder: 0.016436, Accuracy: 97.59, IOU: 0.033158 Loss: 0.053377
Epoch: [4][480/500], Time: 1.08, Data: 0.04, lr_encoder: 0.016400, lr_decoder: 0.016400, Accuracy: 97.62, IOU: 0.034323 Loss: 0.052803
Saving checkpoints...
Epoch: [5][0/500], Time: 1.09, Data: 0.00, lr_encoder: 0.016363, lr_decoder: 0.016363, Accuracy: 98.13, IOU: 0.040598 Loss: 0.053637
