Input arguments:
id               resnet50_upernet_train2
arch_encoder     resnet50
arch_decoder     upernet
weights_encoder  
weights_decoder  
fc_dim           2048
list_train       /home/ky_aneur/cs230/code/cta-scripts/train_list_40x_upsampling.odgt
list_val         ./data/validation.odgt
root_dataset     /data2/yeom/ky_aneur/sah_png/train
num_gpus         2
batch_size_per_gpu 2
num_epoch        20
start_epoch      1
epoch_iters      500
optim            adam
lr_encoder       0.02
lr_decoder       0.02
lr_pow           0.9
beta1            0.9
weight_decay     0.0001
deep_sup_scale   0.4
fix_bn           0
num_class        2
workers          16
imgSize          [300, 375, 450, 525, 600]
imgMaxSize       1000
padding_constant 32
segm_downsampling_rate 4
random_flip      True
seed             304
ckpt             /data2/yeom/ky_aneur/results/ckpt/loss_weights/
disp_iter        20
Model ID: resnet50_upernet_train2-resnet50-upernet-ngpus2-batchSize4-imgMaxSize1000-paddingConst32-segmDownsampleRate4-LR_encoder0.02-LR_decoder0.02-epoch20
# samples: 36560
1 Epoch = 500 iters
Epoch: [5][180/500], Time: 1.09, Data: 0.04, lr_encoder: 0.016031, lr_decoder: 0.016031, Accuracy: 99.71, IOU: 0.109638 Loss: 0.011233
Epoch: [5][200/500], Time: 1.09, Data: 0.04, lr_encoder: 0.015994, lr_decoder: 0.015994, Accuracy: 99.72, IOU: 0.112802 Loss: 0.010807
Epoch: [5][220/500], Time: 1.08, Data: 0.04, lr_encoder: 0.015957, lr_decoder: 0.015957, Accuracy: 99.73, IOU: 0.114148 Loss: 0.010588
Epoch: [5][240/500], Time: 1.08, Data: 0.04, lr_encoder: 0.015920, lr_decoder: 0.015920, Accuracy: 99.73, IOU: 0.118208 Loss: 0.010377
Epoch: [5][260/500], Time: 1.08, Data: 0.04, lr_encoder: 0.015884, lr_decoder: 0.015884, Accuracy: 99.74, IOU: 0.121055 Loss: 0.010361
Epoch: [5][280/500], Time: 1.08, Data: 0.04, lr_encoder: 0.015847, lr_decoder: 0.015847, Accuracy: 99.74, IOU: 0.124618 Loss: 0.010181
Epoch: [5][300/500], Time: 1.08, Data: 0.04, lr_encoder: 0.015810, lr_decoder: 0.015810, Accuracy: 99.74, IOU: 0.124532 Loss: 0.010224
Epoch: [5][320/500], Time: 1.08, Data: 0.04, lr_encoder: 0.015773, lr_decoder: 0.015773, Accuracy: 99.75, IOU: 0.124700 Loss: 0.009945
Epoch: [5][340/500], Time: 1.08, Data: 0.04, lr_encoder: 0.015736, lr_decoder: 0.015736, Accuracy: 99.75, IOU: 0.125654 Loss: 0.009708
Epoch: [5][360/500], Time: 1.08, Data: 0.04, lr_encoder: 0.015699, lr_decoder: 0.015699, Accuracy: 99.76, IOU: 0.129802 Loss: 0.009619
Epoch: [5][380/500], Time: 1.08, Data: 0.04, lr_encoder: 0.015662, lr_decoder: 0.015662, Accuracy: 99.76, IOU: 0.130835 Loss: 0.009528
Epoch: [5][400/500], Time: 1.08, Data: 0.04, lr_encoder: 0.015625, lr_decoder: 0.015625, Accuracy: 99.76, IOU: 0.131226 Loss: 0.009647
Epoch: [5][420/500], Time: 1.08, Data: 0.04, lr_encoder: 0.015588, lr_decoder: 0.015588, Accuracy: 99.76, IOU: 0.128757 Loss: 0.009530
Epoch: [5][440/500], Time: 1.08, Data: 0.04, lr_encoder: 0.015551, lr_decoder: 0.015551, Accuracy: 99.76, IOU: 0.130004 Loss: 0.009436
Epoch: [5][460/500], Time: 1.07, Data: 0.04, lr_encoder: 0.015514, lr_decoder: 0.015514, Accuracy: 99.76, IOU: 0.129726 Loss: 0.009401
Epoch: [5][480/500], Time: 1.07, Data: 0.04, lr_encoder: 0.015477, lr_decoder: 0.015477, Accuracy: 99.76, IOU: 0.131688 Loss: 0.009426
Saving checkpoints...
Epoch: [6][0/500], Time: 0.68, Data: 0.00, lr_encoder: 0.015440, lr_decoder: 0.015440, Accuracy: 99.86, IOU: 0.125000 Loss: 0.011078
Epoch: [6][20/500], Time: 1.08, Data: 0.04, lr_encoder: 0.015403, lr_decoder: 0.015403, Accuracy: 99.89, IOU: 0.141089 Loss: 0.004964
Epoch: [6][40/500], Time: 1.06, Data: 0.04, lr_encoder: 0.015366, lr_decoder: 0.015366, Accuracy: 99.85, IOU: 0.138566 Loss: 0.005892
Epoch: [6][60/500], Time: 1.07, Data: 0.04, lr_encoder: 0.015328, lr_decoder: 0.015328, Accuracy: 99.83, IOU: 0.152428 Loss: 0.006705
Epoch: [6][80/500], Time: 1.06, Data: 0.04, lr_encoder: 0.015291, lr_decoder: 0.015291, Accuracy: 99.82, IOU: 0.147335 Loss: 0.006847
Epoch: [6][100/500], Time: 1.07, Data: 0.04, lr_encoder: 0.015254, lr_decoder: 0.015254, Accuracy: 99.80, IOU: 0.133390 Loss: 0.007478
Epoch: [6][120/500], Time: 1.06, Data: 0.04, lr_encoder: 0.015217, lr_decoder: 0.015217, Accuracy: 99.81, IOU: 0.136175 Loss: 0.007282
Epoch: [6][140/500], Time: 1.07, Data: 0.04, lr_encoder: 0.015180, lr_decoder: 0.015180, Accuracy: 99.81, IOU: 0.141159 Loss: 0.007145
Epoch: [6][160/500], Time: 1.07, Data: 0.04, lr_encoder: 0.015143, lr_decoder: 0.015143, Accuracy: 99.80, IOU: 0.140824 Loss: 0.007370
